%C4%AF+%C5%A1al%C4%AF+laikinai+dirbti+atsi%C5%B3stas+u%C5%BEsienietis%2C+kurio+nuolatin%C4%97+darbo+vieta+yra+u%C5%BEsienyje-lt = admittedTerm-admn-sts
%C4%AFgaliojimai+atlikti+patikrinimus-lt = admittedTerm-admn-sts
%C5%A1%C4%97riuotasis+vainik%C5%ABnas-lt = deprecatedTerm-admn-sts
eterinis+ekstraktas-lt = preferredTerm-admn-sts
gertis-lt = preferredTerm-admn-sts
gimdos+v%C4%97%C5%BEys-lt = admittedTerm-admn-sts
intermodalinis+ve%C5%BEimas-lt = admittedTerm-admn-sts
j%C5%ABr%C5%B3+kiauly%C4%8Di%C5%B3+imuninis+serumas-lt = preferredTerm-admn-sts
juslinis-lt = preferredTerm-admn-sts
keleivi%C5%B3+salonas-lt = preferredTerm-admn-sts
kontrastinis+da%C5%BEymas-lt = preferredTerm-admn-sts
kova+prie%C5%A1+rasizm%C4%85+ir+ksenofobij%C4%85-lt = admittedTerm-admn-sts
kriptosporidioz%C4%97-lt = preferredTerm-admn-sts
maistin%C4%97+mikromed%C5%BEiaga-lt = preferredTerm-admn-sts
mokestinis+nuostolis-lt = admittedTerm-admn-sts
ne%C5%BEinomo+autoriaus+k%C5%ABrinys-lt = deprecatedTerm-admn-sts
numatomas+mokes%C4%8Di%C5%B3+nuostolis-lt = preferredTerm-admn-sts
oficiali+laboratorija-lt = admittedTerm-admn-sts
pagalba+pagal+pagalbos+schem%C4%85-lt = preferredTerm-admn-sts
pardavimas+internetu-lt = preferredTerm-admn-sts
pirmin%C4%97s+nuosavos+l%C4%97%C5%A1os-lt = preferredTerm-admn-sts
poodiniai+riebalai-lt = preferredTerm-admn-sts
priemok%C5%B3+schema-lt = deprecatedTerm-admn-sts
pusininkaujama+%C5%BEem%C4%97s+%C5%ABkio+paskirties+%C5%BEem%C4%97-lt = preferredTerm-admn-sts
rasojimo+%C5%A1alinimas-lt = preferredTerm-admn-sts
savaranki%C5%A1kai+valdoma+sistema-lt = deprecatedTerm-admn-sts
stacionari+gaisro+gesinimo+sistema-lt = preferredTerm-admn-sts
su+doze+susieta+reakcija-lt = preferredTerm-admn-sts
su+eksporto+vykdymu+susijusi+subsidija-lt = deprecatedTerm-admn-sts
sunkinan%C4%8Dios+aplinkyb%C4%97s-lt = admittedTerm-admn-sts
tarpin%C4%97+%C4%AFstaiga-lt = deprecatedTerm-admn-sts
valytuv%C5%B3+valymo+laukas-lt = deprecatedTerm-admn-sts
%C5%A1iltnamio+efekt%C4%85+sukelian%C4%8Di%C5%B3+duj%C5%B3+i%C5%A1metimo+leidimas-lt = deprecatedTerm-admn-sts
%C5%A1liau%C5%BEiantysis+inkaruotis-lt = deprecatedTerm-admn-sts
%C5%BEalioji+ekonomika-lt = preferredTerm-admn-sts
%C5%BEiauninis+tinklaitis-lt = preferredTerm-admn-sts
%C5%BEiedin%C4%97s+reakcijos+tyrimas-lt = deprecatedTerm-admn-sts
133+straipsnio+komitetas+%28pakaitiniai+nariai%29-lt = supersededTerm-admn-sts
133+straipsnio+komitetas-lt = supersededTerm-admn-sts
Bendrijos+kaina-lt = preferredTerm-admn-sts
Bendrijos+keli%C5%B3+eismo+%C4%AFvyki%C5%B3+duomen%C5%B3+baz%C4%97-lt = preferredTerm-admn-sts
Branduolini%C5%B3+klausim%C5%B3+darbo+grup%C4%97+%28Branduolin%C4%97s+saugos+ad+hoc+darbo+grup%C4%97%29-lt = supersededTerm-admn-sts
ESAC-lt = deprecatedTerm-admn-sts
Europos+iniciatyva+%E2%80%9ESmall+Business+Act%E2%80%9C-lt = preferredTerm-admn-sts
PSO+prekybos+su+i%C5%A1orin%C4%97mis+sistemomis+planas-lt = deprecatedTerm-admn-sts
Tarptautine+vietos+lygmens+aplinkos+iniciatyv%C5%B3+taryba-lt = supersededTerm-admn-sts
VRDT-lt = supersededTerm-admn-sts
arakazija-lt = deprecatedTerm-admn-sts
atsisakymas+parengti+nuomon%C4%99+ar+prane%C5%A1im%C4%85-lt = preferredTerm-admn-sts
auginami+grybai-lt = preferredTerm-admn-sts
balansin%C4%97+vert%C4%97-lt = preferredTerm-admn-sts
balastinis+%C4%AFtaisas-lt = preferredTerm-admn-sts
balninio+sukabintuvo+kai%C5%A1tis-lt = preferredTerm-admn-sts
biotechnologini%C5%B3+produkt%C5%B3+sektorius-lt = deprecatedTerm-admn-sts
brucelos-lt = deprecatedTerm-admn-sts
dalinis+apkrovimas-lt = admittedTerm-admn-sts
darbo+dokumentai-lt = admittedTerm-admn-sts
darbo+postas-lt = admittedTerm-admn-sts
distancinis+valdymas-lt = admittedTerm-admn-sts
divinilas-lt = admittedTerm-admn-sts
dvigubasis+dugnas-lt = preferredTerm-admn-sts
geb%C4%97jimas+naudotis+%C5%BEiniasklaidos+priemon%C4%97mis-lt = preferredTerm-admn-sts
genotoksinis+poveikis-lt = admittedTerm-admn-sts
gertuv%C4%97-lt = deprecatedTerm-admn-sts
grup%C4%97s+veterinarijos+gydytojas-lt = preferredTerm-admn-sts
hiperteksto+perdavimo+protokolas-lt = supersededTerm-admn-sts
intervencinis+pasturgalio+raumuo-lt = admittedTerm-admn-sts
kilm%C4%97s+%C4%AFgijimas-lt = preferredTerm-admn-sts
klasteris-lt = admittedTerm-admn-sts
kokybin%C4%97+analiz%C4%97-lt = preferredTerm-admn-sts
koreliacijos+lentel%C4%97-lt = supersededTerm-admn-sts
kreivio+spindulys-lt = deprecatedTerm-admn-sts
kukur%C5%ABzai+silosui-lt = deprecatedTerm-admn-sts
kvalifikuotasis+akcij%C5%B3+paketas-lt = preferredTerm-admn-sts
kvot%C5%B3+supirkimo+programa-lt = deprecatedTerm-admn-sts
medienos+%C5%BEaliava-lt = admittedTerm-admn-sts
melsva%C5%BEiaunis+saule%C5%A1eris-lt = preferredTerm-admn-sts
minutin%C4%97+ventiliacija-lt = admittedTerm-admn-sts
molekulin%C4%97+mas%C4%97-lt = admittedTerm-admn-sts
nacionalin%C4%97+viza-lt = admittedTerm-admn-sts
nei%C5%A1darin%C4%97ta+%C5%BEuvis-lt = admittedTerm-admn-sts
pagalba+technini%C5%B3+galimybi%C5%B3+studijoms-lt = deprecatedTerm-admn-sts
pagrindin%C4%97+vairo+pavara-lt = preferredTerm-admn-sts
pasi%C5%ABlymas+d%C4%97l+teis%C4%97s+akto-lt = admittedTerm-admn-sts
preki%C5%B3+jud%C4%97jimo+pa%C5%BEym%C4%97jimas-lt = deprecatedTerm-admn-sts
regionin%C4%97+priemoka-lt = preferredTerm-admn-sts
sorbentas-lt = admittedTerm-admn-sts
sorbitolis-lt = admittedTerm-admn-sts
sri%C4%8Di%C5%B3+vard%C5%B3+serveris-lt = admittedTerm-admn-sts
standi+dalis-lt = admittedTerm-admn-sts
sukamasis-lt = preferredTerm-admn-sts
ta%C5%A1kinis+%C4%97minys-lt = supersededTerm-admn-sts
teis%C4%97k%C5%ABros+pasi%C5%ABlymas-lt = supersededTerm-admn-sts
u%C5%BE+pl%C4%97tr%C4%85+ir+kaimynyst%C4%97s+politik%C4%85+atsakingas+Komisijos+narys-lt = supersededTerm-admn-sts
varvintas+medus-lt = deprecatedTerm-admn-sts
veterinarijos+sertifikatas-lt = preferredTerm-admn-sts
ilgalaikis+%C5%BEenklinimas-lt = preferredTerm-admn-sts
nepratr%C5%ABkusi+p%C5%ABslel%C4%97-lt = preferredTerm-admn-sts
taur%C4%97papartiniai-lt = deprecatedTerm-admn-sts
%282-aminopropil%29benzenas-lt = admittedTerm-admn-sts
%C4%AEvairi%C5%B3+interes%C5%B3+grup%C4%97-lt = supersededTerm-admn-sts
%C4%AFtampingas-lt = admittedTerm-admn-sts
%C5%A1iltnamio+efekt%C4%85+sukelian%C4%8Di%C5%B3+duj%C5%B3+absorbavimas-lt = preferredTerm-admn-sts
%C5%BEodin%C4%97+prekyba-lt = preferredTerm-admn-sts
Barselonos+procesas-lt = deprecatedTerm-admn-sts
Bendrijos+civilin%C4%97s+saugos+mechanizmas-lt = supersededTerm-admn-sts
EEB+sudedamosios+dalies+tipo+patvirtinimo+%C5%BEenklas-lt = admittedTerm-admn-sts
ES+teis%C4%97s+aktai+d%C4%97l+autori%C5%B3+teisi%C5%B3-lt = preferredTerm-admn-sts
EUNAVFOR+MED-lt = supersededTerm-admn-sts
Farmakologinio+budrumo+rizikos+vertinimo+konsultacinis+komitetas-lt = supersededTerm-admn-sts
ISP-ASS-lt = deprecatedTerm-admn-sts
Informacin%C4%97s+visuomen%C4%97s+ir+%C5%BEiniasklaidos+GD-lt = supersededTerm-admn-sts
Keitimosi+informacija+ad+hoc+darbo+grup%C4%97-lt = supersededTerm-admn-sts
Komitologijos+sprendimas-lt = deprecatedTerm-admn-sts
Nacionalratas-lt = preferredTerm-admn-sts
Paj%C4%97gum%C5%B3+pl%C4%97tojimo+mechanizmas-lt = preferredTerm-admn-sts
Vokietijos+Federacin%C4%97s+Respublikos+Bundestagas-lt = preferredTerm-admn-sts
aki%C5%B3+dirginimas+balais-lt = admittedTerm-admn-sts
akytas-lt = admittedTerm-admn-sts
antrojo+mechaniko+atestatas-lt = admittedTerm-admn-sts
atsirasti-lt = admittedTerm-admn-sts
blukinan%C4%8Dios+med%C5%BEio+anglys-lt = deprecatedTerm-admn-sts
duomen%C5%B3+kanalas-lt = admittedTerm-admn-sts
ekonomini%C5%B3+operacij%C5%B3+vykdytojas-lt = supersededTerm-admn-sts
fiziologin%C4%97+chemija-lt = supersededTerm-admn-sts
jautriklis-lt = preferredTerm-admn-sts
judriojo+ry%C5%A1io+paslauga-lt = admittedTerm-admn-sts
lauko+aptvaras-lt = preferredTerm-admn-sts
leidimas+oro+susisiekimui+vykdyti-lt = deprecatedTerm-admn-sts
medune%C5%A1%C4%97+bit%C4%97-lt = admittedTerm-admn-sts
mokes%C4%8Di%C5%B3+lengvata-lt = deprecatedTerm-admn-sts
moliuskai+su+geldele-lt = admittedTerm-admn-sts
ne%C4%AFgalumo+pasunk%C4%97jimas-lt = preferredTerm-admn-sts
pagalbos+u%C5%BE+plot%C4%85+parai%C5%A1ka-lt = deprecatedTerm-admn-sts
pagrindinis+aktas-lt = preferredTerm-admn-sts
pakartotinis+jud%C4%97jimas-lt = deprecatedTerm-admn-sts
patvirtinta+diagnostin%C4%97+laboratorija-lt = deprecatedTerm-admn-sts
pra%C5%A1ymas+paskelbti+negaliojan%C4%8Diu-lt = preferredTerm-admn-sts
pritaikymo+sistema-lt = deprecatedTerm-admn-sts
prudencin%C4%97+kli%C5%ABtis-lt = preferredTerm-admn-sts
savivaldis+automobilis-lt = preferredTerm-admn-sts
skolos+tvarkymo+s%C4%85naudos-lt = preferredTerm-admn-sts
strukt%C5%ABrinis+baltymas-lt = preferredTerm-admn-sts
tipo+patvirtinimo+institucija-lt = preferredTerm-admn-sts
tradicin%C4%97s+gavybos+dujos-lt = preferredTerm-admn-sts
trumposios+grandin%C4%97s+chlorintasis+alkanas-lt = admittedTerm-admn-sts
trumposios+grandin%C4%97s+chlorintasis+parafinas-lt = preferredTerm-admn-sts
u%C5%BEsienie%C4%8Dio+teis%C4%97+dalyvauti+rinkimuose-lt = admittedTerm-admn-sts
venesuelinis+kedrenis-lt = preferredTerm-admn-sts
%C4%AFvyniojimas-lt = deprecatedTerm-admn-sts
%C5%A1aln%C5%B3+pa%C5%BEeisti+lapai-lt = admittedTerm-admn-sts
%C5%BEelatina-lt = preferredTerm-admn-sts
133+straipsnio+komitetas+%28ekspertai+%28plieno%2C+tekstil%C4%97s+ir+kiti+pramon%C4%97s+sektoriai%2C+paslaugos%2C+abipusis+pripa%C5%BEinimas%29-lt = supersededTerm-admn-sts
1A+direktoratas+%28vidaus+rinka%2C+aplinka+ir+transportas%29-lt = supersededTerm-admn-sts
Europos+Bendrij%C5%B3+pareig%C5%ABn%C5%B3+tarnybos+nuostatai+ir+kit%C5%B3+Europos+Bendrij%C5%B3+tarnautoj%C5%B3+%C4%AFdarbinimo+s%C4%85lygos-lt = supersededTerm-admn-sts
Finansini%C5%B3+paslaug%C5%B3+darbo+grup%C4%97+%28komitologija%29-lt = supersededTerm-admn-sts
Fourier+transformacija-lt = admittedTerm-admn-sts
INFSO+GD-lt = supersededTerm-admn-sts
Tarptautin%C4%97+apsaugos+nuo+ter%C5%A1im%C5%B3+i%C5%A1+laiv%C5%B3+prevencijos+konvencija-lt = deprecatedTerm-admn-sts
anglies+balanso+metodas-lt = deprecatedTerm-admn-sts
anglies+dioksido+nutek%C4%97jimas-lt = preferredTerm-admn-sts
b%C5%ABti+kieno+nors+jurisdikcijoje-lt = deprecatedTerm-admn-sts
biologinis+skaidumas-lt = preferredTerm-admn-sts
bulvi%C5%B3+gumb%C5%B3+verpsti%C5%A1kumo+viroidas-lt = preferredTerm-admn-sts
dempingo+skirtum%C5%B3+svertinis+vidurkis-lt = deprecatedTerm-admn-sts
eritrocit%C5%B3+agliutinacija-lt = admittedTerm-admn-sts
gamintojo+identifikavimo+%C5%BEenklas-lt = admittedTerm-admn-sts
kraikas-lt = preferredTerm-admn-sts
mi%C5%A1rioji+%C5%BEemdirbyst%C4%97-lt = preferredTerm-admn-sts
nepalankus+klimato+rei%C5%A1kinys-lt = admittedTerm-admn-sts
prekybos+problemos-lt = admittedTerm-admn-sts
prie%C5%A1putis-lt = preferredTerm-admn-sts
prisijungimo+ta%C5%A1kas-lt = supersededTerm-admn-sts
propilo+p-hidroksibenzoatas-lt = supersededTerm-admn-sts
reagavimas+%C4%AF+paklaus%C4%85-lt = deprecatedTerm-admn-sts
reguliavimo+sistema-lt = preferredTerm-admn-sts
sausasis+%C5%BEiev%C4%97s+lupimas-lt = preferredTerm-admn-sts
sausasis+labai+riebus+pienas-lt = deprecatedTerm-admn-sts
u%C5%BEskaitos+susitarimas-lt = preferredTerm-admn-sts
vadovyb%C4%97s+%C4%AFvertinimas-lt = admittedTerm-admn-sts
veisimui+skirt%C5%B3+grynaveisli%C5%B3+arkli%C5%B3+kilm%C4%97s+knyga-lt = deprecatedTerm-admn-sts
%C4%AFdagas-lt = preferredTerm-admn-sts
%C4%AFlankin%C4%97+akiniuotoji+%C5%A1ukut%C4%97-lt = supersededTerm-admn-sts
%C5%A1altasis+paleidimas-lt = preferredTerm-admn-sts
%C5%A1eriuotasis+p%C4%97dul%C4%97-lt = deprecatedTerm-admn-sts
%C5%BE%C5%ABkl%C4%97s+sezonas-lt = admittedTerm-admn-sts
%C5%BEalioji+paslauga-lt = preferredTerm-admn-sts
%C5%BEalsva%C5%BEied%C4%97+p%C4%97dul%C4%97-lt = preferredTerm-admn-sts
CFR+tapatumo+nustatymo+numeris-lt = supersededTerm-admn-sts
H+GD-lt = supersededTerm-admn-sts
Mokslini%C5%B3+tyrim%C5%B3+GD-lt = supersededTerm-admn-sts
Saugumo+tarnyba-lt = supersededTerm-admn-sts
T+citotoksin%C4%97+l%C4%85stel%C4%97-lt = admittedTerm-admn-sts
T+l%C4%85stel%C4%97-lt = admittedTerm-admn-sts
Vidaus+reikal%C5%B3+generalinis+direktoratas-lt = supersededTerm-admn-sts
adaptyvioji+priekinio+ap%C5%A1vietimo+sistema-lt = preferredTerm-admn-sts
ap%C5%A1vie%C4%8Diamasis+at%C5%A1vaito+pavir%C5%A1ius-lt = deprecatedTerm-admn-sts
atitinkami+produktai-lt = admittedTerm-admn-sts
atsiradimas-lt = deprecatedTerm-admn-sts
auditoriaus+nuomon%C4%97+apie+grup%C4%99-lt = preferredTerm-admn-sts
avi%C5%B3+pienas-lt = preferredTerm-admn-sts
bendras+tinklo+modelis-lt = preferredTerm-admn-sts
biologin%C4%97+sauga-lt = preferredTerm-admn-sts
bioskilimas-lt = admittedTerm-admn-sts
bylos+svarstymo+atid%C4%97jimas-lt = supersededTerm-admn-sts
da%C5%BEnio+palaikymo+kokyb%C4%97s+tikslinis+parametras-lt = preferredTerm-admn-sts
dygioji+raja-lt = preferredTerm-admn-sts
ekonomin%C4%97+politika-lt = preferredTerm-admn-sts
eksporto+gr%C4%85%C5%BEinam%C5%B3j%C5%B3+i%C5%A1mok%C5%B3+sistema-lt = preferredTerm-admn-sts
energetikos+produktas-lt = supersededTerm-admn-sts
garo+generatorius-lt = preferredTerm-admn-sts
gautin%C5%B3+sum%C5%B3+orderiai-lt = deprecatedTerm-admn-sts
i%C5%A1metim%C4%85+ma%C5%BEinanti+technologija-lt = deprecatedTerm-admn-sts
indikatorin%C4%97+grup%C4%97-lt = admittedTerm-admn-sts
inventorin%C4%97+gyvavimo+ciklo+analiz%C4%97-lt = preferredTerm-admn-sts
kartusis+migdolas-lt = deprecatedTerm-admn-sts
likutinis+turtas+ir+subrogacija-lt = preferredTerm-admn-sts
metanolis-lt = preferredTerm-admn-sts
minutinis+kv%C4%97pavimo+t%C5%ABris-lt = preferredTerm-admn-sts
nat%C5%ABralioji+l%C4%85stel%C4%97-%C5%BEudik%C4%97-lt = preferredTerm-admn-sts
ne%C4%AFgali%C5%B3j%C5%B3+darbuotoj%C5%B3+u%C5%BEimtumui+skirta+pagalba-lt = deprecatedTerm-admn-sts
neteis%C4%97ta+imigracija-lt = admittedTerm-admn-sts
notifikuotoji+%C4%AFstaiga-lt = preferredTerm-admn-sts
pagalba+u%C5%BE+plot%C4%85-lt = deprecatedTerm-admn-sts
paprastojo+migdolo+saldusis+varietetas-lt = preferredTerm-admn-sts
parama+u%C5%BE+gyvulius-lt = preferredTerm-admn-sts
parama+u%C5%BE+hektar%C4%85-lt = preferredTerm-admn-sts
pardavimas+skolon-lt = preferredTerm-admn-sts
pensij%C5%B3+anuitetas-lt = deprecatedTerm-admn-sts
piktybin%C4%97+katarin%C4%97+kar%C5%A1tlig%C4%97-lt = preferredTerm-admn-sts
prekes+reglamentuojan%C4%8Di%C5%B3+dokument%C5%B3+rinkinys-lt = preferredTerm-admn-sts
prie%C5%A1gaisrin%C4%97+apsauga-lt = admittedTerm-admn-sts
priimamasis+bandymas-lt = admittedTerm-admn-sts
raudonieji+j%C5%ABr%C5%B3+dumbliai-lt = supersededTerm-admn-sts
siektina+trukm%C4%97-lt = preferredTerm-admn-sts
supratimo+memorandumas-lt = deprecatedTerm-admn-sts
tarplaboratorinis+lyginamasis+tyrimas-lt = preferredTerm-admn-sts
teigiamas+kontrolinis+m%C4%97ginys-lt = preferredTerm-admn-sts
traukos+gaubtas-lt = preferredTerm-admn-sts
tyrimui+naudojamas+filtravimo+popieriaus+gabal%C4%97lis-lt = admittedTerm-admn-sts
u%C5%BE+finansin%C4%AF+programavim%C4%85+ir+biud%C5%BEet%C4%85+atsakingas+Komisijos+narys-lt = supersededTerm-admn-sts
u%C5%BE+sveikatos+ir+vartotoj%C5%B3+reikal%C5%B3+politik%C4%85+atsakingas+Komisijos+narys-lt = supersededTerm-admn-sts
u%C5%BEkratas-lt = preferredTerm-admn-sts
v%C4%97jo+j%C4%97gain%C4%97-lt = preferredTerm-admn-sts
valdymo+linija-lt = preferredTerm-admn-sts
valerijoniniai-lt = deprecatedTerm-admn-sts
videokonferencija-lt = admittedTerm-admn-sts
%C4%AF%C5%BEem%C4%97jimo+rodytuvas-lt = admittedTerm-admn-sts
%C5%A1viesos+diodo+%C5%A1viesos+%C5%A1altinis-lt = deprecatedTerm-admn-sts
%C5%ABkin%C4%97s+veiklos+vykdytojas-lt = admittedTerm-admn-sts
A+cukrus-lt = supersededTerm-admn-sts
Bendrijos+%C5%BEvejybos+laiv%C5%B3+rejestras-lt = deprecatedTerm-admn-sts
Bundesratas-lt = preferredTerm-admn-sts
Delegacija+ry%C5%A1iams+su+Magrebo+%C5%A1alimis+ir+Arab%C5%B3+Magrebo+S%C4%85junga%2C+%C4%AFskaitant+Libij%C4%85-lt = supersededTerm-admn-sts
EMEA-lt = supersededTerm-admn-sts
Europos+antimikrobinio+atsparumo+steb%C4%97jimo+sistema-lt = supersededTerm-admn-sts
Kankinimo+auk%C5%B3+reabilitacijos+ir+tyrim%C5%B3+centras-lt = supersededTerm-admn-sts
Pagrindini%C5%B3+teisi%C5%B3+ir+pilietyb%C4%97s+ad+hoc+darbo+grup%C4%97-lt = supersededTerm-admn-sts
Protokolas+d%C4%97l+tam+tikr%C5%B3+Europos+bendrijos+steigimo+sutarties+14+straipsnio+aspekt%C5%B3+taikymo+Jungtinei+Karalystei+ir+Airijai-lt = supersededTerm-admn-sts
Subsidiarumo%2C+proporcingumo+ir+veikimo+ma%C5%BEiau%2C+bet+efektyviau+darbo+grup%C4%97-lt = preferredTerm-admn-sts
Tarybos+sprendimas+d%C4%97l+Europos+Bendrij%C5%B3+nuosav%C5%B3+i%C5%A1tekli%C5%B3+sistemos-lt = supersededTerm-admn-sts
administracinis+savaranki%C5%A1kumas-lt = preferredTerm-admn-sts
antigen%C5%B3+tipo+nustatymas-lt = preferredTerm-admn-sts
apklaus%C4%97jas-lt = admittedTerm-admn-sts
aprasojimo+pa%C5%A1alinimas-lt = admittedTerm-admn-sts
asimptotin%C4%97+LC50-lt = preferredTerm-admn-sts
automobilin%C4%97+betonmai%C5%A1%C4%97-lt = preferredTerm-admn-sts
bedarbio+i%C5%A1moka-lt = admittedTerm-admn-sts
biologinis+t%C4%97vyst%C4%97s+ar+motinyst%C4%97s+ry%C5%A1ys-lt = deprecatedTerm-admn-sts
eksploatavimo+saugumo+pad%C4%97tis-lt = deprecatedTerm-admn-sts
gelsva%C5%A1akn%C4%97+morkuol%C4%97-lt = preferredTerm-admn-sts
gyv%C5%ABn%C5%B3+riebalai-lt = admittedTerm-admn-sts
gyv%C5%ABniniai+riebalai-lt = preferredTerm-admn-sts
ilgalaikis+%C5%BEym%C4%97jimas-lt = admittedTerm-admn-sts
k%C4%97limo+%C4%AFranga-lt = admittedTerm-admn-sts
korekcinis+veiksmas-lt = admittedTerm-admn-sts
lempos+naudojimo+trukm%C4%97-lt = admittedTerm-admn-sts
medienos+atliekos-lt = preferredTerm-admn-sts
mikrolygio+rizikos+ribojimo+prie%C5%BEi%C5%ABra-lt = admittedTerm-admn-sts
nat%C5%ABralus+i%C5%A1sivalymas-lt = deprecatedTerm-admn-sts
nuomininkas+pagal+paveld%C4%97jim%C4%85-lt = admittedTerm-admn-sts
nuos%C4%97dos-lt = admittedTerm-admn-sts
pa%C5%A1ar%C5%B3+kiekis-lt = admittedTerm-admn-sts
